Date (MM/DD/YYYY),Destination Airport,Departure delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),Date
01/08/2019,ORD,-27.0,0.0,0.0,27.0,0.0,0.0,2019-01-08
01/08/2019,PHX,5.0,9.0,0.0,53.0,0.0,0.0,2019-01-08
01/09/2017,CLT,87.0,0.0,0.0,0.0,0.0,24.0,2017-01-09
01/09/2017,DFW,93.0,36.0,0.0,7.0,0.0,47.0,2017-01-09
01/09/2017,MIA,61.0,0.0,0.0,0.0,0.0,0.0,2017-01-09
01/09/2017,ORD,33.0,13.0,0.0,19.0,0.0,0.0,2017-01-09
01/09/2017,PHX,133.0,128.0,0.0,6.0,0.0,0.0,2017-01-09
01/09/2018,CLT,61.0,81.0,0.0,0.0,0.0,0.0,2018-01-09
01/09/2018,DFW,3.0,0.0,0.0,0.0,0.0,0.0,2018-01-09
01/09/2018,MIA,45.0,2.0,0.0,0.0,0.0,23.0,2018-01-09
01/09/2018,ORD,131.0,135.0,0.0,31.0,0.0,0.0,2018-01-09
01/09/2018,PHX,7.0,0.0,0.0,0.0,0.0,0.0,2018-01-09
01/09/2019,CLT,174.0,153.0,0.0,0.0,0.0,17.0,2019-01-09
01/09/2019,DFW,2.0,0.0,0.0,8.0,0.0,14.0,2019-01-09
01/09/2019,MIA,35.0,0.0,0.0,0.0,0.0,0.0,2019-01-09
01/09/2019,ORD,15.0,0.0,0.0,0.0,0.0,0.0,2019-01-09
01/09/2019,PHX,11.0,0.0,0.0,10.0,0.0,13.0,2019-01-09
01/10/2017,CLT,0.0,5.0,0.0,6.0,0.0,6.0,2017-01-10
01/10/2017,DFW,10.0,0.0,0.0,0.0,0.0,0.0,2017-01-10
01/10/2017,MIA,45.0,0.0,0.0,0.0,0.0,0.0,2017-01-10
01/10/2017,ORD,-19.0,0.0,0.0,67.0,0.0,0.0,2017-01-10
01/10/2017,PHX,-1.0,0.0,0.0,0.0,0.0,0.0,2017-01-10
01/10/2018,CLT,-41.0,0.0,0.0,0.0,0.0,0.0,2018-01-10
01/10/2018,DFW,-7.0,0.0,0.0,0.0,0.0,0.0,2018-01-10
01/10/2018,MIA,-20.0,0.0,0.0,0.0,0.0,0.0,2018-01-10
01/10/2018,ORD,-13.0,0.0,0.0,22.0,0.0,0.0,2018-01-10
01/10/2018,PHX,4.0,0.0,0.0,0.0,0.0,0.0,2018-01-10
01/10/2019,CLT,87.0,22.0,0.0,0.0,0.0,27.0,2019-01-10
01/10/2019,DFW,37.0,2.0,0.0,0.0,0.0,21.0,2019-01-10
01/10/2019,MIA,57.0,0.0,0.0,0.0,0.0,0.0,2019-01-10
01/10/2019,ORD,37.0,0.0,0.0,0.0,0.0,26.0,2019-01-10
01/10/2019,PHX,-14.0,0.0,0.0,0.0,0.0,0.0,2019-01-10
01/11/2017,CLT,-2.0,0.0,0.0,0.0,0.0,0.0,2017-01-11
01/11/2017,DFW,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-11
01/11/2017,MIA,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-11
01/11/2017,ORD,-18.0,0.0,0.0,0.0,0.0,0.0,2017-01-11
01/11/2017,PHX,-5.0,0.0,0.0,42.0,0.0,0.0,2017-01-11
01/11/2018,CLT,-9.0,0.0,0.0,0.0,0.0,0.0,2018-01-11
01/11/2018,DFW,39.0,0.0,35.0,0.0,0.0,0.0,2018-01-11
01/11/2018,MIA,4.0,0.0,0.0,0.0,0.0,0.0,2018-01-11
01/11/2018,ORD,-24.0,0.0,0.0,0.0,0.0,0.0,2018-01-11
01/11/2018,PHX,3.0,0.0,0.0,0.0,0.0,0.0,2018-01-11
01/11/2019,CLT,17.0,0.0,0.0,0.0,0.0,16.0,2019-01-11
01/11/2019,DFW,22.0,4.0,0.0,0.0,0.0,22.0,2019-01-11
01/11/2019,MIA,40.0,0.0,0.0,0.0,0.0,17.0,2019-01-11
01/11/2019,ORD,4.0,0.0,0.0,31.0,0.0,11.0,2019-01-11
01/11/2019,PHX,-16.0,0.0,0.0,16.0,0.0,0.0,2019-01-11
01/12/2017,CLT,121.0,0.0,0.0,0.0,0.0,84.0,2017-01-12
01/12/2017,DFW,13.0,21.0,0.0,2.0,0.0,2.0,2017-01-12
01/12/2017,MIA,172.0,143.0,0.0,18.0,0.0,0.0,2017-01-12
01/12/2017,ORD,-5.0,0.0,0.0,23.0,0.0,0.0,2017-01-12
01/12/2017,PHX,-10.0,0.0,0.0,21.0,0.0,0.0,2017-01-12
01/12/2018,CLT,86.0,24.0,0.0,19.0,0.0,53.0,2018-01-12
