Date (MM/DD/YYYY),Destination Airport,Departure delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),Date
01/02/2018,CHS,85.0,57.0,0.0,0.0,0.0,0.0,2018-01-02
01/02/2018,DEN,93.0,0.0,0.0,0.0,0.0,0.0,2018-01-02
01/02/2018,FLL,29.0,14.0,0.0,11.0,0.0,0.0,2018-01-02
01/02/2018,HNL,40.0,0.0,0.0,0.0,0.0,0.0,2018-01-02
01/02/2018,JAX,2.0,0.0,0.0,0.0,0.0,0.0,2018-01-02
01/02/2018,LAS,7.0,0.0,0.0,0.0,0.0,0.0,2018-01-02
01/02/2018,LAX,150.0,60.0,0.0,0.0,0.0,0.0,2018-01-02
01/02/2018,MCO,57.0,19.0,0.0,0.0,0.0,0.0,2018-01-02
01/02/2018,MIA,72.0,39.0,0.0,15.0,0.0,0.0,2018-01-02
01/02/2018,MSP,81.0,0.0,0.0,0.0,0.0,0.0,2018-01-02
01/02/2018,MSY,39.0,0.0,0.0,0.0,0.0,0.0,2018-01-02
01/02/2018,PBI,1.0,0.0,0.0,63.0,0.0,0.0,2018-01-02
01/02/2018,PDX,92.0,4.0,0.0,0.0,0.0,21.0,2018-01-02
01/02/2018,PHL,40.0,31.0,0.0,0.0,0.0,0.0,2018-01-02
01/02/2018,PHX,18.0,0.0,0.0,0.0,0.0,0.0,2018-01-02
01/02/2018,RSW,38.0,0.0,0.0,0.0,0.0,0.0,2018-01-02
01/02/2018,SAN,35.0,0.0,0.0,0.0,0.0,0.0,2018-01-02
01/02/2018,SAT,-2.0,0.0,0.0,0.0,0.0,0.0,2018-01-02
01/02/2018,SEA,14.0,0.0,0.0,0.0,0.0,0.0,2018-01-02
01/02/2018,SFO,92.0,0.0,0.0,0.0,0.0,0.0,2018-01-02
01/02/2018,SJU,-8.0,0.0,0.0,35.0,0.0,0.0,2018-01-02
01/02/2018,SLC,-11.0,0.0,0.0,0.0,0.0,0.0,2018-01-02
01/02/2018,TPA,257.0,54.0,145.0,0.0,0.0,0.0,2018-01-02
01/02/2019,ATL,8.0,0.0,0.0,0.0,0.0,0.0,2019-01-02
01/02/2019,AUS,-2.0,0.0,0.0,0.0,0.0,0.0,2019-01-02
01/02/2019,DCA,-5.0,0.0,0.0,0.0,0.0,0.0,2019-01-02
01/02/2019,DEN,3.0,0.0,0.0,0.0,0.0,0.0,2019-01-02
01/02/2019,FLL,8.0,0.0,0.0,0.0,0.0,0.0,2019-01-02
01/02/2019,HNL,-5.0,0.0,0.0,0.0,0.0,0.0,2019-01-02
01/02/2019,JAX,-13.0,0.0,0.0,0.0,0.0,0.0,2019-01-02
01/02/2019,LAS,-14.0,0.0,0.0,0.0,0.0,0.0,2019-01-02
