Date (MM/DD/YYYY),Destination Airport,Departure delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),Date
01/11/2018,SLC,-2.0,0.0,0.0,0.0,0.0,0.0,2018-01-11
01/11/2019,ATL,132.0,2.0,0.0,0.0,0.0,68.0,2019-01-11
01/11/2019,DTW,27.0,0.0,0.0,0.0,0.0,0.0,2019-01-11
01/11/2019,MSP,-5.0,0.0,0.0,0.0,0.0,0.0,2019-01-11
01/11/2019,SLC,30.0,0.0,0.0,0.0,0.0,0.0,2019-01-11
01/12/2017,ATL,188.0,46.0,0.0,0.0,0.0,33.0,2017-01-12
01/12/2017,DTW,-14.0,0.0,0.0,0.0,0.0,0.0,2017-01-12
01/12/2017,SLC,25.0,12.0,0.0,13.0,0.0,13.0,2017-01-12
01/12/2018,ATL,548.0,32.0,11.0,0.0,0.0,437.0,2018-01-12
01/12/2018,DTW,-5.0,0.0,0.0,0.0,0.0,0.0,2018-01-12
01/12/2018,MSP,-5.0,0.0,0.0,0.0,0.0,0.0,2018-01-12
01/12/2018,SLC,83.0,12.0,0.0,0.0,0.0,42.0,2018-01-12
01/12/2019,ATL,-28.0,0.0,0.0,0.0,0.0,0.0,2019-01-12
01/12/2019,DTW,-5.0,0.0,0.0,0.0,0.0,0.0,2019-01-12
01/12/2019,MSP,-14.0,0.0,0.0,0.0,0.0,0.0,2019-01-12
01/12/2019,SLC,9.0,0.0,0.0,0.0,0.0,0.0,2019-01-12
01/13/2017,ATL,32.0,0.0,0.0,0.0,0.0,0.0,2017-01-13
01/13/2017,DTW,-21.0,0.0,0.0,0.0,0.0,0.0,2017-01-13
01/13/2017,SLC,-4.0,0.0,0.0,0.0,0.0,0.0,2017-01-13
01/13/2018,ATL,-27.0,0.0,0.0,0.0,0.0,0.0,2018-01-13
01/13/2018,DTW,-7.0,0.0,0.0,0.0,0.0,0.0,2018-01-13
01/13/2018,MSP,-5.0,0.0,0.0,0.0,0.0,0.0,2018-01-13
01/13/2019,ATL,12.0,1.0,0.0,0.0,0.0,24.0,2019-01-13
01/13/2019,DTW,-2.0,0.0,0.0,0.0,0.0,0.0,2019-01-13
01/13/2019,MSP,-5.0,0.0,0.0,0.0,0.0,0.0,2019-01-13
01/13/2019,SLC,-3.0,0.0,0.0,0.0,0.0,0.0,2019-01-13
01/14/2017,ATL,85.0,75.0,0.0,0.0,0.0,0.0,2017-01-14
01/14/2017,DTW,-13.0,0.0,0.0,0.0,0.0,0.0,2017-01-14
01/14/2018,ATL,-30.0,0.0,0.0,0.0,0.0,0.0,2018-01-14
01/14/2018,DTW,-9.0,0.0,0.0,0.0,0.0,0.0,2018-01-14
01/14/2019,ATL,-37.0,0.0,0.0,0.0,0.0,0.0,2019-01-14
01/14/2019,DTW,92.0,54.0,0.0,0.0,0.0,23.0,2019-01-14
01/14/2019,MSP,-6.0,0.0,0.0,0.0,0.0,0.0,2019-01-14
01/14/2019,SLC,-3.0,0.0,0.0,0.0,0.0,0.0,2019-01-14
01/15/2017,ATL,-29.0,0.0,0.0,0.0,0.0,0.0,2017-01-15
01/15/2017,DTW,-6.0,0.0,0.0,0.0,0.0,0.0,2017-01-15
